,school_state,resource_type,poverty_level,total_donations,funding_status,date_posted
7389,IL,Supplies,highest poverty,187,completed,2005-01-21 00:00:00
268316,NY,Books,highest poverty,294,completed,2011-01-08 00:00:00
290491,KY,Technology,highest poverty,418,completed,2011-03-18 00:00:00
409107,NY,Other,highest poverty,482,completed,2012-04-10 00:00:00
317786,CA,Supplies,high poverty,0,expired,2011-07-25 00:00:00
647352,LA,Supplies,highest poverty,183,completed,2014-03-18 00:00:00
548960,TX,Technology,moderate poverty,444,completed,2013-08-21 00:00:00
298286,TN,Technology,highest poverty,413,completed,2011-04-06 00:00:00
693804,MD,Books,highest poverty,419,completed,2014-08-14 00:00:00
544597,MO,Technology,moderate poverty,562,completed,2013-08-11 00:00:00
855754,NM,Books,highest poverty,0,live,2015-06-22 00:00:00
131862,CA,Technology,highest poverty,0,expired,2009-04-09 00:00:00
218283,CA,Other,highest poverty,4817,completed,2010-08-16 00:00:00
600023,NY,Other,highest poverty,196,completed,2013-11-10 00:00:00
713305,AR,Technology,moderate poverty,422,completed,2014-08-30 00:00:00
21816,IL,Books,highest poverty,211,completed,2006-05-10 00:00:00
649934,GA,Technology,highest poverty,887,completed,2014-03-24 00:00:00
734020,OR,Technology,high poverty,718,completed,2014-09-15 00:00:00
803251,CA,Supplies,high poverty,20,expired,2015-02-01 00:00:00
163376,WA,Technology,high poverty,136,completed,2009-10-01 00:00:00
341658,IN,Books,highest poverty,498,completed,2011-10-01 00:00:00
744662,IL,Technology,high poverty,141,completed,2014-09-26 00:00:00
204876,IN,Supplies,high poverty,0,expired,2010-05-23 00:00:00
657022,OK,Books,moderate poverty,885,completed,2014-04-16 00:00:00
181001,VA,Books,high poverty,346,completed,2010-01-08 00:00:00
298395,CA,Books,highest poverty,632,completed,2011-04-06 00:00:00
474201,CA,Supplies,highest poverty,0,expired,2012-11-16 00:00:00
17477,NC,Books,high poverty,159,completed,2006-02-06 00:00:00
351731,TN,Supplies,highest poverty,396,completed,2011-11-05 00:00:00
223161,UT,Technology,highest poverty,15,reallocated,2010-09-01 00:00:00
356957,TX,Supplies,highest poverty,159,completed,2011-11-24 00:00:00
849264,CA,Other,moderate poverty,2201,completed,2015-06-01 00:00:00
612249,NY,Other,high poverty,151,completed,2013-12-07 00:00:00
511859,MN,Technology,highest poverty,564,completed,2013-03-31 00:00:00
876207,GA,Technology,highest poverty,1565,completed,2015-08-13 00:00:00
365676,KY,Books,highest poverty,15,expired,2011-12-13 00:00:00
853928,AZ,Technology,moderate poverty,75,live,2015-06-16 00:00:00
139861,WV,Other,high poverty,209,completed,2009-06-01 00:00:00
455150,UT,Technology,high poverty,527,completed,2012-10-03 00:00:00
608554,IN,Supplies,highest poverty,459,completed,2013-11-27 00:00:00
343786,DE,Other,high poverty,488,completed,2011-10-07 00:00:00
377399,CA,Technology,high poverty,910,completed,2012-01-19 00:00:00
293397,CA,Technology,highest poverty,771,completed,2011-03-27 00:00:00
484009,CA,Supplies,high poverty,327,completed,2012-12-14 00:00:00
75108,NY,Supplies,highest poverty,201,completed,2008-02-10 00:00:00
283044,TN,Supplies,highest poverty,0,expired,2011-02-20 00:00:00
55906,IL,Books,highest poverty,327,completed,2007-10-25 00:00:00
375652,CA,Technology,highest poverty,236,expired,2012-01-15 00:00:00
666981,AR,Other,high poverty,0,expired,2014-05-24 00:00:00
545035,TX,Supplies,highest poverty,155,completed,2013-08-12 00:00:00
645779,ID,Technology,highest poverty,517,completed,2014-03-14 00:00:00
813064,TN,Supplies,highest poverty,158,completed,2015-02-22 00:00:00
603046,WI,Supplies,highest poverty,0,expired,2013-11-15 00:00:00
625703,UT,Supplies,highest poverty,226,completed,2014-01-19 00:00:00
732826,TX,Technology,moderate poverty,0,expired,2014-09-14 00:00:00
596718,AR,Books,moderate poverty,892,completed,2013-11-04 00:00:00
789116,MA,Other,highest poverty,0,expired,2014-12-30 00:00:00
285976,MD,Books,highest poverty,171,completed,2011-03-03 00:00:00
341643,IL,Supplies,high poverty,0,expired,2011-10-01 00:00:00
590843,MA,Books,highest poverty,442,completed,2013-10-27 00:00:00
329263,MS,Technology,high poverty,125,expired,2011-08-28 00:00:00
833425,CA,Supplies,highest poverty,50,expired,2015-04-14 00:00:00
638407,CO,Technology,low poverty,0,expired,2014-02-23 00:00:00
844688,KY,Supplies,high poverty,5,live,2015-05-18 00:00:00
571078,NY,Supplies,highest poverty,492,completed,2013-09-24 00:00:00
153442,TN,Books,low poverty,556,completed,2009-08-30 00:00:00
484178,NC,Technology,high poverty,176,completed,2012-12-14 00:00:00
792264,TN,Technology,high poverty,472,completed,2015-01-11 00:00:00
117620,IL,Books,highest poverty,189,completed,2009-01-11 00:00:00
692241,MD,Technology,highest poverty,350,completed,2014-08-10 00:00:00
489115,SD,Books,high poverty,25,expired,2013-01-06 00:00:00
811556,IL,Visitors,high poverty,1262,completed,2015-02-18 00:00:00
866551,FL,Supplies,high poverty,0,live,2015-07-26 00:00:00
338425,LA,Books,highest poverty,0,expired,2011-09-24 00:00:00
382536,IA,Supplies,highest poverty,394,completed,2012-01-28 00:00:00
480291,NC,Technology,high poverty,0,expired,2012-12-04 00:00:00
93446,IL,Supplies,highest poverty,414,completed,2008-07-22 00:00:00
347144,CA,Technology,high poverty,60,expired,2011-10-16 00:00:00
334177,MS,Technology,highest poverty,731,completed,2011-09-11 00:00:00
701832,CA,Technology,highest poverty,406,completed,2014-08-22 00:00:00
835046,IL,Supplies,highest poverty,195,completed,2015-04-19 00:00:00
656438,CA,Technology,high poverty,328,completed,2014-04-14 00:00:00
700949,IL,Technology,highest poverty,441,completed,2014-08-22 00:00:00
148337,NC,Other,moderate poverty,82,expired,2009-08-14 00:00:00
473850,TX,Books,highest poverty,125,expired,2012-11-14 00:00:00
79644,NC,Supplies,highest poverty,0,expired,2008-03-07 00:00:00
110192,CA,Supplies,highest poverty,136,completed,2008-11-17 00:00:00
304767,SC,Supplies,highest poverty,245,completed,2011-05-01 00:00:00
309105,MD,Books,highest poverty,253,completed,2011-05-30 00:00:00
169398,CT,Technology,highest poverty,830,completed,2009-10-27 00:00:00
290898,FL,Books,highest poverty,929,completed,2011-03-20 00:00:00
222474,GA,Books,highest poverty,90,expired,2010-08-31 00:00:00
54226,LA,Technology,highest poverty,229,completed,2007-10-12 00:00:00
333153,MO,Supplies,highest poverty,234,completed,2011-09-08 00:00:00
444076,NY,Other,high poverty,239,completed,2012-09-08 00:00:00
534771,TX,Technology,moderate poverty,280,expired,2013-07-15 00:00:00
628199,NC,Books,moderate poverty,248,completed,2014-01-28 00:00:00
65166,CA,Books,highest poverty,267,completed,2007-12-10 00:00:00
479537,CA,Technology,moderate poverty,150,expired,2012-12-02 00:00:00
317160,CA,Books,moderate poverty,105,expired,2011-07-20 00:00:00
39798,IN,Supplies,highest poverty,520,completed,2007-02-20 00:00:00
802413,CA,Supplies,highest poverty,29,expired,2015-01-30 00:00:00
1001,NY,Technology,highest poverty,397,completed,2003-06-18 00:00:00
616249,IL,Technology,highest poverty,671,completed,2013-12-17 00:00:00
599319,CA,Technology,moderate poverty,0,expired,2013-11-09 00:00:00
172675,SC,Supplies,highest poverty,202,completed,2009-11-16 00:00:00
589365,CA,Technology,high poverty,100,expired,2013-10-24 00:00:00
426609,TX,Supplies,highest poverty,464,completed,2012-07-22 00:00:00
299719,TN,Books,highest poverty,593,completed,2011-04-10 00:00:00
154949,NY,Books,highest poverty,658,completed,2009-09-06 00:00:00
320104,CA,Technology,highest poverty,680,completed,2011-08-01 00:00:00
503442,MI,Other,highest poverty,225,completed,2013-02-24 00:00:00
657554,CA,Books,highest poverty,242,completed,2014-04-18 00:00:00
807700,NY,Other,highest poverty,0,expired,2015-02-11 00:00:00
51404,CA,Supplies,highest poverty,311,completed,2007-09-17 00:00:00
613376,NY,Supplies,highest poverty,361,completed,2013-12-09 00:00:00
199558,TX,Books,highest poverty,318,completed,2010-04-19 00:00:00
368566,CO,Technology,moderate poverty,689,completed,2011-12-21 00:00:00
543382,VA,Technology,high poverty,250,expired,2013-08-10 00:00:00
2384,NY,Supplies,highest poverty,336,completed,2003-12-08 00:00:00
614090,TX,Supplies,highest poverty,0,expired,2013-12-10 00:00:00
685702,VA,Supplies,highest poverty,565,completed,2014-07-27 00:00:00
357563,NV,Technology,highest poverty,1309,completed,2011-11-26 00:00:00
35528,TX,Supplies,highest poverty,932,completed,2006-12-07 00:00:00
280644,NH,Technology,highest poverty,170,expired,2011-02-13 00:00:00
15411,IL,Books,highest poverty,517,completed,2005-12-05 00:00:00
363361,CA,Technology,high poverty,1031,completed,2011-12-08 00:00:00
240716,NJ,Supplies,high poverty,577,completed,2010-10-09 00:00:00
7709,NY,Technology,highest poverty,0,expired,2005-02-07 00:00:00
632279,NE,Other,highest poverty,56,expired,2014-02-08 00:00:00
25652,CA,Books,high poverty,308,completed,2006-08-21 00:00:00
816940,KY,Technology,high poverty,50,expired,2015-03-03 00:00:00
255252,NY,Supplies,highest poverty,176,completed,2010-12-04 00:00:00
549639,MD,Supplies,highest poverty,399,completed,2013-08-23 00:00:00
25242,LA,Other,high poverty,536,completed,2006-08-14 00:00:00
214361,TX,Technology,highest poverty,446,completed,2010-08-02 00:00:00
295081,TN,Supplies,moderate poverty,517,completed,2011-03-31 00:00:00
54801,CA,Books,highest poverty,424,completed,2007-10-16 00:00:00
155422,TX,Books,high poverty,267,completed,2009-09-08 00:00:00
606710,AZ,Supplies,high poverty,184,completed,2013-11-22 00:00:00
588728,OK,Technology,highest poverty,0,expired,2013-10-23 00:00:00
806990,TX,Technology,moderate poverty,50,expired,2015-02-08 00:00:00
198747,NY,Technology,highest poverty,539,completed,2010-04-15 00:00:00
120310,NC,Other,highest poverty,218,completed,2009-01-29 00:00:00
696320,MI,Books,low poverty,468,completed,2014-08-16 00:00:00
221622,KY,Supplies,high poverty,571,completed,2010-08-27 00:00:00
198295,OR,Technology,highest poverty,45,expired,2010-04-12 00:00:00
256712,CA,Books,highest poverty,188,completed,2010-12-07 00:00:00
578349,FL,Other,highest poverty,971,completed,2013-10-06 00:00:00
65023,NY,Supplies,highest poverty,347,completed,2007-12-10 00:00:00
725217,HI,Technology,high poverty,506,completed,2014-09-07 00:00:00
280243,IL,Supplies,highest poverty,10,expired,2011-02-13 00:00:00
781895,CA,Technology,highest poverty,72,expired,2014-12-06 00:00:00
351087,CA,Technology,moderate poverty,471,completed,2011-11-01 00:00:00
468626,NC,Supplies,highest poverty,284,completed,2012-10-30 00:00:00
392154,IN,Technology,high poverty,55,expired,2012-02-12 00:00:00
124168,MA,Books,highest poverty,280,completed,2009-02-19 00:00:00
484020,MI,Technology,moderate poverty,447,completed,2012-12-14 00:00:00
356991,CA,Technology,highest poverty,269,completed,2011-11-24 00:00:00
836738,OR,Technology,high poverty,50,live,2015-04-26 00:00:00
443836,MA,Supplies,highest poverty,236,completed,2012-09-08 00:00:00
134092,IL,Supplies,highest poverty,490,completed,2009-05-01 00:00:00
832170,WI,Technology,high poverty,177,completed,2015-04-09 00:00:00
491359,KY,Other,highest poverty,187,completed,2013-01-16 00:00:00
241165,GA,Books,highest poverty,410,completed,2010-10-10 00:00:00
35917,NY,Books,highest poverty,247,completed,2006-12-14 00:00:00
572797,NY,Supplies,highest poverty,257,completed,2013-09-27 00:00:00
609498,NY,Technology,highest poverty,1946,completed,2013-11-30 00:00:00
360520,WI,Other,moderate poverty,5,expired,2011-12-05 00:00:00
38719,CA,Supplies,highest poverty,267,completed,2007-02-04 00:00:00
733909,WA,Books,high poverty,1348,completed,2014-09-15 00:00:00
179718,NY,Books,highest poverty,298,completed,2009-12-31 00:00:00
543783,IL,Books,high poverty,487,completed,2013-08-10 00:00:00
384066,WI,Books,highest poverty,10,expired,2012-01-30 00:00:00
109485,NY,Supplies,highest poverty,0,expired,2008-11-09 00:00:00
298823,TN,Books,high poverty,274,completed,2011-04-08 00:00:00
311019,IN,Supplies,highest poverty,220,expired,2011-06-13 00:00:00
71807,NY,Technology,highest poverty,628,completed,2008-01-22 00:00:00
125996,NC,Supplies,highest poverty,178,completed,2009-03-02 00:00:00
775341,CA,Technology,high poverty,521,completed,2014-11-18 00:00:00
478239,NY,Technology,highest poverty,512,completed,2012-11-29 00:00:00
405662,CT,Technology,moderate poverty,1845,completed,2012-03-25 00:00:00
150887,IL,Technology,high poverty,35,expired,2009-08-22 00:00:00
664158,CO,Supplies,highest poverty,175,completed,2014-05-12 00:00:00
650548,MA,Supplies,moderate poverty,488,completed,2014-03-26 00:00:00
289086,TX,Supplies,moderate poverty,50,expired,2011-03-13 00:00:00
10004,IL,Supplies,highest poverty,0,expired,2005-06-13 00:00:00
630022,MS,Technology,highest poverty,1046,completed,2014-02-02 00:00:00
40514,CA,Supplies,highest poverty,203,completed,2007-03-05 00:00:00
762188,GA,Supplies,highest poverty,100,expired,2014-10-22 00:00:00
194059,CT,Books,highest poverty,25,expired,2010-03-16 00:00:00
736691,TN,Technology,highest poverty,510,completed,2014-09-18 00:00:00
809455,NY,Books,high poverty,0,expired,2015-02-14 00:00:00
658723,FL,Books,highest poverty,0,expired,2014-04-24 00:00:00
523601,NY,Technology,highest poverty,20,expired,2013-05-26 00:00:00
504441,VA,Books,high poverty,0,expired,2013-02-27 00:00:00
367367,CA,Technology,high poverty,622,completed,2011-12-18 00:00:00
839788,CT,Books,highest poverty,0,live,2015-05-06 00:00:00
818219,DC,Books,high poverty,209,completed,2015-03-07 00:00:00
746686,CA,Technology,moderate poverty,50,expired,2014-09-27 00:00:00
211730,NJ,Supplies,moderate poverty,502,completed,2010-07-19 00:00:00
22795,IL,Technology,moderate poverty,0,expired,2006-06-08 00:00:00
851436,CA,Supplies,highest poverty,991,completed,2015-06-08 00:00:00
559856,AZ,Books,highest poverty,10,expired,2013-09-07 00:00:00
262789,GA,Other,highest poverty,0,expired,2010-12-22 00:00:00
199121,CA,Technology,highest poverty,908,completed,2010-04-18 00:00:00
341167,TX,Other,highest poverty,516,completed,2011-09-30 00:00:00
798275,TX,Technology,highest poverty,0,expired,2015-01-21 00:00:00
608724,FL,Technology,high poverty,0,expired,2013-11-27 00:00:00
828190,NY,Supplies,highest poverty,0,expired,2015-03-29 00:00:00
751836,NH,Technology,moderate poverty,847,completed,2014-10-05 00:00:00
124606,SC,Technology,highest poverty,665,completed,2009-02-22 00:00:00
364397,NY,Supplies,moderate poverty,67,expired,2011-12-10 00:00:00
129518,OH,Other,high poverty,0,expired,2009-03-25 00:00:00
392116,WI,Supplies,high poverty,0,expired,2012-02-12 00:00:00
368937,NM,Supplies,highest poverty,496,completed,2011-12-23 00:00:00
71623,NM,Technology,high poverty,915,completed,2008-01-22 00:00:00
282834,TX,Books,high poverty,282,completed,2011-02-20 00:00:00
543916,MO,Other,high poverty,13,expired,2013-08-11 00:00:00
417433,NV,Other,highest poverty,490,completed,2012-05-28 00:00:00
445011,NY,Other,high poverty,562,completed,2012-09-10 00:00:00
3824,NY,Books,highest poverty,148,completed,2004-05-08 00:00:00
88729,NY,Other,highest poverty,25,expired,2008-05-21 00:00:00
213566,AZ,Technology,highest poverty,587,completed,2010-07-30 00:00:00
106141,TX,Books,highest poverty,935,completed,2008-10-17 00:00:00
825693,NY,Supplies,highest poverty,0,expired,2015-03-24 00:00:00
727624,TX,Technology,moderate poverty,1530,completed,2014-09-10 00:00:00
735544,NC,Technology,high poverty,421,completed,2014-09-18 00:00:00
16569,NY,Supplies,highest poverty,0,expired,2006-01-12 00:00:00
381287,CA,Technology,high poverty,1151,completed,2012-01-26 00:00:00
54615,NC,Supplies,highest poverty,400,completed,2007-10-16 00:00:00
40413,NY,Books,highest poverty,323,completed,2007-03-02 00:00:00
663445,NY,Other,highest poverty,50,expired,2014-05-10 00:00:00
301233,NY,Books,moderate poverty,0,expired,2011-04-13 00:00:00
430694,OH,Technology,highest poverty,296,completed,2012-08-09 00:00:00
57878,CA,Supplies,highest poverty,168,completed,2007-11-01 00:00:00
170663,ME,Supplies,highest poverty,555,completed,2009-11-05 00:00:00
186648,CA,Technology,highest poverty,706,completed,2010-02-07 00:00:00
681368,UT,Supplies,highest poverty,100,expired,2014-07-18 00:00:00
428207,TX,Technology,highest poverty,557,completed,2012-07-28 00:00:00
547589,IN,Supplies,high poverty,440,completed,2013-08-18 00:00:00
652517,CA,Supplies,highest poverty,2626,completed,2014-04-01 00:00:00
792245,SC,Technology,highest poverty,340,completed,2015-01-11 00:00:00
202499,DC,Books,highest poverty,0,expired,2010-05-05 00:00:00
424894,MA,Books,highest poverty,445,completed,2012-07-14 00:00:00
13209,NC,Supplies,moderate poverty,0,expired,2005-10-03 00:00:00
266008,NY,Supplies,highest poverty,50,expired,2010-12-31 00:00:00
173661,NY,Books,highest poverty,1055,completed,2009-11-22 00:00:00
532337,GA,Technology,moderate poverty,220,expired,2013-07-06 00:00:00
717358,HI,Technology,highest poverty,2518,completed,2014-09-03 00:00:00
847303,TN,Other,highest poverty,474,completed,2015-05-25 00:00:00
718391,TX,Supplies,highest poverty,194,completed,2014-09-04 00:00:00
717653,CA,Technology,moderate poverty,1874,completed,2014-09-03 00:00:00
19531,NC,Books,highest poverty,0,expired,2006-03-25 00:00:00
775753,FL,Technology,highest poverty,20,expired,2014-11-18 00:00:00
71177,MA,Books,highest poverty,792,completed,2008-01-20 00:00:00
814637,IN,Supplies,high poverty,149,completed,2015-02-26 00:00:00
458355,SC,Supplies,high poverty,0,expired,2012-10-09 00:00:00
297482,OK,Books,highest poverty,1012,completed,2011-04-05 00:00:00
311644,OR,Technology,high poverty,302,completed,2011-06-19 00:00:00
691902,VA,Supplies,highest poverty,0,expired,2014-08-09 00:00:00
489334,NJ,Technology,highest poverty,249,completed,2013-01-07 00:00:00
424891,AZ,Books,highest poverty,597,completed,2012-07-14 00:00:00
377510,CA,Supplies,highest poverty,794,completed,2012-01-19 00:00:00
61872,FL,Supplies,highest poverty,376,completed,2007-11-19 00:00:00
267799,MI,Technology,highest poverty,329,completed,2011-01-07 00:00:00
469518,WA,Technology,low poverty,0,expired,2012-11-02 00:00:00
656170,NJ,Technology,moderate poverty,2269,completed,2014-04-13 00:00:00
284735,CO,Other,highest poverty,25,expired,2011-02-26 00:00:00
472815,TX,Technology,highest poverty,0,expired,2012-11-11 00:00:00
110818,MA,Books,high poverty,276,completed,2008-11-22 00:00:00
184668,OK,Technology,highest poverty,223,completed,2010-01-27 00:00:00
621055,NE,Supplies,moderate poverty,0,expired,2014-01-06 00:00:00
245598,CA,Books,highest poverty,305,completed,2010-10-23 00:00:00
410138,NC,Supplies,highest poverty,636,completed,2012-04-15 00:00:00
569139,OH,Other,highest poverty,147,completed,2013-09-21 00:00:00
660192,AZ,Supplies,highest poverty,0,expired,2014-04-30 00:00:00
853361,IN,Supplies,highest poverty,125,live,2015-06-15 00:00:00
6120,NC,Visitors,highest poverty,306,completed,2004-11-09 00:00:00
505437,ID,Supplies,highest poverty,20,expired,2013-03-03 00:00:00
79017,OR,Books,highest poverty,411,completed,2008-03-04 00:00:00
422224,TX,Supplies,highest poverty,369,completed,2012-06-29 00:00:00
363058,CA,Other,high poverty,15,expired,2011-12-08 00:00:00
174238,NC,Technology,high poverty,808,completed,2009-11-25 00:00:00
343259,MD,Technology,moderate poverty,170,completed,2011-10-05 00:00:00
139414,NC,Supplies,highest poverty,0,expired,2009-05-29 00:00:00
479223,CA,Supplies,highest poverty,524,completed,2012-12-01 00:00:00
171479,IL,Supplies,highest poverty,193,completed,2009-11-09 00:00:00
28490,DC,Supplies,highest poverty,187,completed,2006-09-13 00:00:00
423592,CA,Technology,highest poverty,317,completed,2012-07-07 00:00:00
434306,FL,Supplies,highest poverty,230,expired,2012-08-19 00:00:00
99742,IL,Books,highest poverty,0,expired,2008-09-07 00:00:00
783730,CA,Books,highest poverty,0,expired,2014-12-10 00:00:00
877792,AL,Other,high poverty,190,live,2015-08-16 00:00:00
7683,NY,Supplies,highest poverty,343,completed,2005-02-06 00:00:00
66588,MD,Technology,highest poverty,464,completed,2007-12-17 00:00:00
594823,TX,Supplies,high poverty,0,expired,2013-11-02 00:00:00
58241,NC,Technology,high poverty,0,expired,2007-11-03 00:00:00
692131,MD,Technology,highest poverty,519,completed,2014-08-10 00:00:00
293821,FL,Supplies,moderate poverty,516,completed,2011-03-28 00:00:00
149853,NY,Books,high poverty,242,completed,2009-08-19 00:00:00
41021,NY,Books,highest poverty,0,expired,2007-03-12 00:00:00
120685,AL,Supplies,high poverty,175,completed,2009-02-01 00:00:00
49858,NC,Supplies,highest poverty,0,expired,2007-09-04 00:00:00
840447,GA,Books,low poverty,294,completed,2015-05-08 00:00:00
785275,FL,Technology,highest poverty,482,completed,2014-12-15 00:00:00
144518,NY,Other,highest poverty,513,completed,2009-07-19 00:00:00
422039,NY,Books,highest poverty,500,completed,2012-06-27 00:00:00
568360,CO,Other,highest poverty,543,completed,2013-09-20 00:00:00
783141,MI,Technology,highest poverty,0,expired,2014-12-08 00:00:00
303181,AZ,Books,highest poverty,285,reallocated,2011-04-20 00:00:00
291843,CA,Technology,high poverty,25,expired,2011-03-21 00:00:00
815153,GA,Technology,highest poverty,160,expired,2015-02-27 00:00:00
602695,CA,Supplies,highest poverty,509,completed,2013-11-15 00:00:00
628356,CA,Books,high poverty,209,completed,2014-01-28 00:00:00
459601,WA,Books,high poverty,522,completed,2012-10-12 00:00:00
719360,FL,Technology,high poverty,2059,completed,2014-09-04 00:00:00
764791,MA,Supplies,highest poverty,50,expired,2014-10-26 00:00:00
526646,CA,Technology,highest poverty,570,completed,2013-06-10 00:00:00
39782,NC,Books,highest poverty,0,expired,2007-02-20 00:00:00
24092,NY,Trips,highest poverty,234,completed,2006-07-18 00:00:00
626283,TX,Technology,highest poverty,389,completed,2014-01-21 00:00:00
319100,TX,Technology,highest poverty,0,expired,2011-07-28 00:00:00
717924,CA,Other,highest poverty,556,completed,2014-09-04 00:00:00
832627,IN,Supplies,high poverty,174,completed,2015-04-11 00:00:00
565686,CA,Books,moderate poverty,203,completed,2013-09-15 00:00:00
531703,CT,Supplies,highest poverty,417,completed,2013-07-04 00:00:00
687083,MS,Technology,highest poverty,858,completed,2014-07-29 00:00:00
823352,AZ,Other,highest poverty,168,expired,2015-03-19 00:00:00
399639,UT,Supplies,highest poverty,0,expired,2012-03-07 00:00:00
394540,CA,Technology,high poverty,235,completed,2012-02-18 00:00:00
544426,MA,Technology,moderate poverty,260,expired,2013-08-11 00:00:00
616826,FL,Other,high poverty,1360,completed,2013-12-19 00:00:00
135458,WI,Technology,moderate poverty,253,completed,2009-05-08 00:00:00
130882,MO,Books,highest poverty,0,expired,2009-04-02 00:00:00
648712,CA,Books,highest poverty,1989,completed,2014-03-22 00:00:00
15840,CA,Technology,highest poverty,585,completed,2005-12-17 00:00:00
419502,TX,Supplies,high poverty,226,completed,2012-06-11 00:00:00
592166,NJ,Supplies,low poverty,201,completed,2013-10-29 00:00:00
598049,SC,Books,high poverty,198,completed,2013-11-08 00:00:00
551642,WA,Supplies,highest poverty,422,completed,2013-08-25 00:00:00
452508,CA,Technology,high poverty,253,completed,2012-09-29 00:00:00
714495,MO,Supplies,highest poverty,184,completed,2014-08-31 00:00:00
739125,GA,Technology,moderate poverty,0,expired,2014-09-20 00:00:00
112724,PA,Supplies,highest poverty,25,expired,2008-12-05 00:00:00
446809,CA,Supplies,moderate poverty,357,completed,2012-09-16 00:00:00
123870,VA,Supplies,highest poverty,218,completed,2009-02-17 00:00:00
537974,MI,Technology,highest poverty,692,completed,2013-07-26 00:00:00
658126,OK,Supplies,high poverty,553,completed,2014-04-21 00:00:00
774122,NC,Technology,moderate poverty,669,completed,2014-11-16 00:00:00
81154,NY,Technology,highest poverty,0,expired,2008-03-17 00:00:00
682833,IL,Technology,highest poverty,1050,completed,2014-07-22 00:00:00
786308,IN,Technology,moderate poverty,1125,completed,2014-12-20 00:00:00
478830,CA,Supplies,moderate poverty,345,completed,2012-12-01 00:00:00
138290,MO,Books,highest poverty,186,completed,2009-05-23 00:00:00
73334,NC,Supplies,moderate poverty,263,completed,2008-01-31 00:00:00
183989,NY,Books,highest poverty,217,completed,2010-01-24 00:00:00
310213,TN,Other,highest poverty,380,completed,2011-06-07 00:00:00
112691,NC,Books,highest poverty,154,completed,2008-12-05 00:00:00
345888,DE,Other,moderate poverty,368,completed,2011-10-12 00:00:00
726930,FL,Technology,highest poverty,157,expired,2014-09-08 00:00:00
508055,TN,Supplies,high poverty,493,completed,2013-03-11 00:00:00
227760,CA,Technology,highest poverty,981,completed,2010-09-10 00:00:00
125001,TN,Technology,high poverty,0,expired,2009-02-24 00:00:00
551993,CA,Technology,moderate poverty,290,expired,2013-08-26 00:00:00
788523,MN,Other,high poverty,0,expired,2014-12-28 00:00:00
739099,CA,Technology,highest poverty,0,expired,2014-09-20 00:00:00
702051,OK,Supplies,highest poverty,177,completed,2014-08-22 00:00:00
392777,NY,Technology,highest poverty,639,completed,2012-02-13 00:00:00
517467,OR,Books,high poverty,458,completed,2013-04-28 00:00:00
78712,NY,Books,high poverty,152,expired,2008-03-03 00:00:00
162909,TN,Supplies,highest poverty,115,expired,2009-09-30 00:00:00
658905,NJ,Technology,low poverty,803,completed,2014-04-26 00:00:00
560189,TX,Books,moderate poverty,930,completed,2013-09-07 00:00:00
501898,CA,Technology,high poverty,570,completed,2013-02-16 00:00:00
280019,MO,Other,high poverty,346,completed,2011-02-12 00:00:00
602423,LA,Books,highest poverty,303,completed,2013-11-14 00:00:00
842750,SC,Technology,high poverty,0,live,2015-05-13 00:00:00
198366,TX,Technology,highest poverty,603,completed,2010-04-12 00:00:00
455929,TX,Technology,high poverty,576,completed,2012-10-06 00:00:00
335283,CA,Other,low poverty,50,expired,2011-09-15 00:00:00
193855,CA,Technology,low poverty,901,completed,2010-03-15 00:00:00
597976,NY,Other,highest poverty,158,completed,2013-11-07 00:00:00
553150,NY,Supplies,highest poverty,311,completed,2013-08-29 00:00:00
856228,GA,Books,highest poverty,0,live,2015-06-25 00:00:00
55758,CA,Technology,highest poverty,466,completed,2007-10-24 00:00:00
860425,CA,Other,highest poverty,460,completed,2015-07-09 00:00:00
845443,NY,Supplies,highest poverty,120,live,2015-05-21 00:00:00
247321,LA,Books,highest poverty,264,completed,2010-10-28 00:00:00
492818,CA,Technology,highest poverty,30,expired,2013-01-20 00:00:00
661207,CA,Technology,high poverty,0,expired,2014-05-03 00:00:00
337202,FL,Technology,highest poverty,20,expired,2011-09-22 00:00:00
514244,NY,Trips,moderate poverty,923,completed,2013-04-12 00:00:00
121263,CA,Technology,highest poverty,995,completed,2009-02-03 00:00:00
301866,CA,Supplies,highest poverty,135,expired,2011-04-16 00:00:00
573388,CA,Books,high poverty,5,expired,2013-09-28 00:00:00
828772,NY,Technology,highest poverty,382,completed,2015-03-30 00:00:00
255967,MD,Books,highest poverty,252,completed,2010-12-06 00:00:00
856170,NY,Supplies,highest poverty,169,completed,2015-06-25 00:00:00
675721,LA,Supplies,highest poverty,485,completed,2014-06-24 00:00:00
687386,CO,Supplies,highest poverty,472,completed,2014-07-30 00:00:00
100535,VA,Technology,highest poverty,236,completed,2008-09-11 00:00:00
462712,CA,Technology,highest poverty,257,completed,2012-10-16 00:00:00
373441,TN,Books,highest poverty,466,completed,2012-01-09 00:00:00
826733,TX,Supplies,moderate poverty,253,completed,2015-03-26 00:00:00
427495,FL,Books,high poverty,329,completed,2012-07-27 00:00:00
158351,IN,Technology,highest poverty,378,completed,2009-09-17 00:00:00
356301,NY,Books,highest poverty,223,completed,2011-11-21 00:00:00
47810,NY,Technology,moderate poverty,100,expired,2007-08-07 00:00:00
398314,NJ,Supplies,high poverty,188,completed,2012-03-03 00:00:00
304973,OK,Supplies,moderate poverty,0,expired,2011-05-03 00:00:00
