token,total_count,ratio
designs,7.0,2.5
desirable,3.0,2.0
desire,10.0,2.3333333333333335
desired,5.0,0.6666666666666666
desires,6.0,5.0
desk,25.0,1.5
despairing,3.0,0.5
desperate,3.0,2.0
desperately,3.0,2.0
desperation,4.0,0.3333333333333333
despise,3.0,2.0
despised,3.0,0.5
despite,30.0,1.3076923076923077
dessert,137.0,6.611111111111111
desserts,36.0,6.2
dest,3.0,2.0
destination,11.0,1.75
destined,3.0,2.0
destroy,7.0,0.75
destroyed,3.0,2.0
destroying,5.0,4.0
destroys,4.0,0.3333333333333333
detail,21.0,9.5
detailed,6.0,2.0
detailing,3.0,2.0
details,11.0,10.0
deter,4.0,3.0
determine,4.0,1.0
determined,9.0,3.5
determining,3.0,2.0
deterred,4.0,3.0
detract,3.0,2.0
detroit,4.0,3.0
develop,5.0,1.5
develope,3.0,2.0
developed,4.0,0.3333333333333333
developers,3.0,0.5
developing,3.0,2.0
development,3.0,0.5
device,6.0,5.0
devices,3.0,2.0
devil,7.0,2.5
deviled,3.0,2.0
devils,4.0,1.0
devine,4.0,3.0
devoid,3.0,2.0
devoted,3.0,2.0
devour,4.0,3.0
devoured,6.0,5.0
devouring,3.0,2.0
dew,3.0,2.0
dewalt,3.0,2.0
di,7.0,2.5
dia,3.0,2.0
diabetes,3.0,2.0
diabetic,3.0,2.0
diablo,7.0,6.0
diabolical,4.0,1.0
diagnosable,3.0,2.0
diagnose,4.0,3.0
diagnosed,5.0,1.5
diagnosis,3.0,0.5
diagnostic,3.0,0.5
diagnostics,3.0,2.0
dial,3.0,2.0
diamond,9.0,2.0
diamondbacks,4.0,1.0
diamonds,4.0,3.0
diaper,4.0,3.0
diapers,3.0,2.0
diarrhea,3.0,0.5
diary,3.0,2.0
diavola,3.0,2.0
diaya,3.0,2.0
dibs,3.0,2.0
diced,5.0,1.5
dicey,4.0,3.0
dick,5.0,0.6666666666666666
dickhead,3.0,0.5
dicknose,3.0,0.5
did,432.0,1.8421052631578947
diddly,3.0,0.5
didn,382.0,1.3875
didnt,17.0,0.5454545454545454
die,66.0,32.0
dieciseis,5.0,0.25
died,5.0,4.0
diego,11.0,4.5
diet,22.0,4.5
dietary,4.0,1.0
dieters,3.0,2.0
dieting,3.0,2.0
difara,3.0,2.0
diff,4.0,3.0
differ,3.0,2.0
differed,3.0,2.0
difference,36.0,3.0
differences,5.0,1.5
different,208.0,4.621621621621622
differentiation,3.0,0.5
differently,5.0,1.5
differnt,3.0,2.0
difficult,29.0,4.8
difficulty,3.0,2.0
dig,16.0,1.6666666666666667
digestif,3.0,2.0
diggety,3.0,2.0
digging,4.0,3.0
diggity,6.0,5.0
digital,4.0,3.0
digress,7.0,6.0
digression,3.0,2.0
digs,4.0,3.0
dijon,3.0,2.0
dilemma,5.0,4.0
diligent,3.0,2.0
dill,7.0,6.0
dillard,4.0,1.0
dilly,5.0,4.0
dim,15.0,2.75
dime,10.0,0.25
dimed,3.0,2.0
diminished,3.0,2.0
diminishes,3.0,2.0
dimly,5.0,0.6666666666666666
dine,39.0,6.8
dined,20.0,4.0
dineinaz,3.0,2.0
diner,20.0,1.8571428571428572
diners,11.0,2.6666666666666665
ding,4.0,1.0
dinged,3.0,0.5
dingy,3.0,0.5
dining,135.0,5.136363636363637
dinky,3.0,0.5
dinne,3.0,2.0
dinner,292.0,3.7868852459016393
dinners,11.0,2.6666666666666665
dinning,5.0,1.5
dip,53.0,3.8181818181818183
diplomatically,3.0,2.0
dipped,11.0,2.6666666666666665
dippin,3.0,2.0
dipping,18.0,8.0
dips,6.0,1.0
dipshits,3.0,2.0
dire,3.0,2.0
direct,4.0,1.0
directed,5.0,0.25
directing,3.0,2.0
direction,7.0,2.5
directions,7.0,2.5
directly,13.0,1.6
director,7.0,6.0
directories,3.0,0.5
directors,4.0,3.0
dirt,10.0,2.3333333333333335
dirty,44.0,0.5714285714285714
disabled,3.0,2.0
disadvantage,4.0,0.3333333333333333
disagree,5.0,1.5
disappear,5.0,0.6666666666666666
disappearance,3.0,2.0
disappeared,6.0,2.0
disappoint,21.0,9.5
disappointed,139.0,2.3095238095238093
disappointing,23.0,0.35294117647058826
disappointment,22.0,0.2222222222222222
disappointments,3.0,2.0
disappoints,9.0,3.5
disaster,9.0,0.125
disastrous,3.0,2.0
disc,3.0,2.0
discard,3.0,2.0
discharged,3.0,2.0
disclaimer,5.0,0.6666666666666666
disclosing,3.0,2.0
disclosure,4.0,3.0
disco,4.0,3.0
discolored,3.0,0.5
discomfort,3.0,0.5
disconsolate,3.0,2.0
discontinued,6.0,2.0
discordant,3.0,0.5
discount,29.0,2.2222222222222223
discounted,10.0,2.3333333333333335
discounts,9.0,8.0
discourage,3.0,0.5
discouraged,5.0,0.6666666666666666
discouraging,3.0,2.0
discover,9.0,8.0
discovered,28.0,6.0
discovering,5.0,4.0
discovery,4.0,3.0
discriminatory,3.0,0.5
discs,3.0,0.5
discuss,5.0,4.0
discussed,8.0,1.6666666666666667
discussing,4.0,1.0
discussion,3.0,0.5
discusting,3.0,0.5
disdain,4.0,0.3333333333333333
disease,4.0,3.0
diseases,3.0,2.0
disgrace,4.0,0.3333333333333333
disgruntled,3.0,2.0
disguised,3.0,0.5
disgust,6.0,0.5
disgusted,4.0,0.3333333333333333
disgusting,26.0,0.08333333333333333
disgustingly,5.0,1.5
dish,161.0,3.128205128205128
dishes,148.0,6.4
disheveled,3.0,2.0
dishonest,4.0,0.3333333333333333
dishwater,3.0,0.5
disintegrate,3.0,0.5
disinterested,4.0,3.0
disks,4.0,0.3333333333333333
dislike,8.0,1.6666666666666667
disliked,6.0,2.0
disliking,3.0,2.0
disloyal,3.0,0.5
dismal,3.0,0.5
dismantle,3.0,2.0
dismay,3.0,2.0
dismayed,3.0,2.0
dismiss,3.0,2.0
dismissed,3.0,0.5
disney,3.0,2.0
disneyland,3.0,2.0
disorganized,3.0,0.5
disoriented,3.0,2.0
disowned,3.0,0.5
dispense,3.0,0.5
dispensed,3.0,2.0
dispenser,5.0,0.25
dispensers,3.0,2.0
dispensing,3.0,2.0
disperses,3.0,2.0
dispite,3.0,2.0
display,13.0,1.6
displayed,6.0,2.0
displaying,3.0,2.0
displays,4.0,1.0
displeased,4.0,1.0
displeasure,3.0,0.5
disposable,6.0,5.0
disregarding,3.0,2.0
disrepair,3.0,2.0
disrespect,4.0,0.3333333333333333
disrespected,4.0,0.3333333333333333
disrespectful,5.0,0.25
disrespectfully,3.0,0.5
disruptive,3.0,0.5
dissapoint,3.0,2.0
dissapointed,4.0,1.0
dissapointment,3.0,2.0
dissappeared,3.0,0.5
dissappointed,3.0,2.0
dissatisfied,3.0,0.5
dissertation,4.0,3.0
dissipated,4.0,3.0
distance,21.0,6.0
distant,6.0,5.0
distaste,3.0,0.5
distasteful,4.0,0.3333333333333333
distinct,8.0,1.6666666666666667
distinction,7.0,2.5
distinctive,3.0,2.0
distinctness,3.0,2.0
distinguished,3.0,2.0
distracted,5.0,1.5
distraction,3.0,0.5
distress,3.0,2.0
distressing,3.0,2.0
distribute,3.0,2.0
distributors,3.0,2.0
district,8.0,7.0
distrito,3.0,2.0
disturbed,3.0,0.5
disturbing,5.0,0.6666666666666666
ditto,3.0,2.0
diuretic,3.0,2.0
dive,22.0,3.4
divers,3.0,0.5
diverse,9.0,8.0
dives,7.0,1.3333333333333333
divey,7.0,1.3333333333333333
divided,3.0,2.0
dividing,3.0,2.0
diviest,3.0,0.5
divine,20.0,19.0
division,4.0,3.0
diy,3.0,0.5
dizzy,5.0,1.5
dj,18.0,3.5
djs,3.0,2.0
dk,6.0,0.2
dmv,10.0,2.3333333333333335
dmvs,5.0,0.25
dnf,3.0,0.5
do,581.0,2.63125
doa,3.0,0.5
dobbins,5.0,4.0
dobson,6.0,2.0
doc,4.0,3.0
dock,4.0,3.0
doctor,26.0,5.5
doctors,15.0,2.75
document,3.0,0.5
documentary,3.0,2.0
documents,3.0,0.5
dodey,3.0,2.0
dodged,4.0,0.3333333333333333
dodger,5.0,4.0
dodgers,6.0,5.0
doens,3.0,2.0
does,153.0,2.923076923076923
doesn,130.0,2.7142857142857144
doesnt,12.0,1.4
dog,143.0,4.5
dogfish,3.0,2.0
dogfishhead,3.0,2.0
dogfoodadvisor,3.0,2.0
doggie,5.0,4.0
doggies,3.0,2.0
doggiestepsdogtraining,3.0,2.0
dogparkriot,3.0,2.0
dogs,68.0,8.714285714285714
doh,3.0,2.0
doing,86.0,2.909090909090909
dojo,4.0,3.0
dolce,3.0,2.0
doling,3.0,0.5
doll,5.0,4.0
dollar,31.0,1.8181818181818181
dollars,33.0,1.3571428571428572
dollhouse,3.0,2.0
dollop,5.0,1.5
dolls,3.0,2.0
dolmades,3.0,2.0
dolmas,4.0,3.0
dolmeh,4.0,3.0
dolphin,4.0,3.0
dom,3.0,2.0
domestic,3.0,0.5
dominate,3.0,2.0
dominated,3.0,0.5
dominick,7.0,6.0
dominique,3.0,2.0
dominos,3.0,0.5
domo,3.0,2.0
don,655.0,2.4473684210526314
donate,5.0,4.0
donated,5.0,4.0
donation,6.0,5.0
donations,5.0,4.0
done,158.0,3.1578947368421053
donkey,4.0,3.0
donna,3.0,2.0
donnell,3.0,2.0
donor,3.0,2.0
dont,26.0,1.6
donut,24.0,7.0
donuts,63.0,4.25
doodle,4.0,3.0
doodles,3.0,2.0
doom,5.0,1.5
dooo,3.0,2.0
door,130.0,2.25
doorman,3.0,2.0
doors,25.0,2.125
doozy,3.0,0.5
dope,4.0,3.0
dorato,3.0,2.0
dorm,3.0,2.0
dormouse,3.0,2.0
dorrie,4.0,0.3333333333333333
dorries,3.0,0.5
dos,14.0,0.5555555555555556
dosa,9.0,8.0
dosas,3.0,2.0
dose,4.0,3.0
dot,3.0,2.0
dots,5.0,4.0
double,34.0,5.8
doubles,3.0,0.5
doubt,26.0,2.7142857142857144
doubted,3.0,2.0
doubts,5.0,4.0
douche,6.0,0.2
doudy,3.0,2.0
dough,14.0,13.0
doughboy,3.0,2.0
doughnut,3.0,2.0
doughnuts,3.0,2.0
doughy,4.0,3.0
douse,4.0,3.0
doused,5.0,0.25
dousing,3.0,0.5
douxelle,3.0,2.0
dove,4.0,0.3333333333333333
down,323.0,2.3645833333333335
downer,3.0,0.5
downfall,3.0,2.0
downhill,4.0,0.3333333333333333
downing,3.0,2.0
download,4.0,0.3333333333333333
downright,6.0,2.0
downs,3.0,2.0
downside,9.0,8.0
downsides,3.0,2.0
downstairs,5.0,4.0
downtown,68.0,5.8
downtrodden,3.0,0.5
dozen,31.0,2.1
dozens,11.0,1.75
dpov,3.0,2.0
dr,96.0,31.0
draft,11.0,1.2
drafts,4.0,3.0
drag,7.0,2.5
dragged,7.0,1.3333333333333333
dragon,9.0,2.0
dragonfly,4.0,3.0
drags,4.0,0.3333333333333333
drain,4.0,0.3333333333333333
drama,3.0,2.0
dramatic,4.0,3.0
dramatically,3.0,2.0
drank,9.0,3.5
drastically,4.0,0.3333333333333333
draught,3.0,2.0
draw,10.0,4.0
drawback,4.0,3.0
drawer,3.0,2.0
drawing,6.0,5.0
drawings,3.0,2.0
drawn,7.0,6.0
draws,3.0,2.0
dre,3.0,2.0
dreaded,4.0,0.3333333333333333
dreadful,3.0,0.5
dreading,6.0,1.0
dream,22.0,10.0
dreamcatcher,3.0,2.0
dreaming,4.0,1.0
dreamlike,3.0,2.0
dreams,9.0,3.5
dreamy,6.0,5.0
dreary,3.0,2.0
dregs,3.0,0.5
dremel,3.0,0.5
drench,3.0,2.0
drenched,7.0,1.3333333333333333
drenching,3.0,2.0
dress,30.0,4.0
dressed,11.0,1.75
dresser,3.0,2.0
dresses,17.0,2.4
dressier,4.0,3.0
dressing,42.0,3.6666666666666665
dressings,4.0,3.0
dressy,4.0,3.0
drew,9.0,8.0
dried,16.0,3.0
drier,4.0,3.0
dries,4.0,1.0
drift,3.0,2.0
drill,3.0,2.0
drilling,4.0,3.0
drink,198.0,3.3043478260869565
drinkable,3.0,2.0
drinker,12.0,5.0
drinkers,4.0,3.0
drinking,40.0,2.3333333333333335
drinks,182.0,3.6666666666666665
drip,4.0,1.0
dripping,6.0,2.0
drive,133.0,2.8
driven,7.0,0.75
driver,13.0,1.6
drivers,4.0,3.0
drives,4.0,3.0
driving,38.0,2.4545454545454546
drizzle,10.0,9.0
drizzled,8.0,7.0
droban,3.0,2.0
drool,4.0,3.0
drooled,3.0,2.0
droolin,3.0,2.0
drooling,5.0,4.0
drools,3.0,2.0
drop,27.0,3.5
dropout,4.0,3.0
dropped,20.0,1.5
dropping,6.0,5.0
drops,6.0,2.0
drought,3.0,0.5
drove,20.0,2.3333333333333335
drowned,4.0,1.0
drowning,4.0,1.0
drug,7.0,0.4
drugs,4.0,3.0
drum,6.0,1.0
drummer,3.0,0.5
drums,3.0,0.5
drunk,12.0,5.0
drunken,12.0,3.0
drunks,3.0,0.5
dry,60.0,1.0
dryer,5.0,0.6666666666666666
drying,3.0,0.5
dryng,3.0,0.5
drywall,3.0,0.5
dslreports,3.0,0.5
dst,5.0,4.0
dt,3.0,2.0
duane,3.0,2.0
dubba,3.0,2.0
duce,6.0,0.2
duck,38.0,8.5
ducked,3.0,2.0
ducks,6.0,5.0
duct,3.0,0.5
dude,21.0,2.0
dudes,7.0,2.5
duds,3.0,2.0
due,44.0,2.6666666666666665
dug,5.0,4.0
dugout,3.0,2.0
duh,4.0,3.0
dui,3.0,2.0
duke,3.0,0.5
dukes,3.0,0.5
dulce,4.0,3.0
dulche,3.0,0.5
dull,3.0,2.0
dumb,8.0,1.0
dumbass,4.0,3.0
dumber,3.0,2.0
dumbest,3.0,0.5
dumbfounded,3.0,0.5
dummies,3.0,0.5
dump,10.0,0.42857142857142855
dumped,3.0,0.5
dumping,5.0,1.5
dumpling,5.0,4.0
dumplings,12.0,5.0
dumpster,6.0,0.5
dun,4.0,3.0
dungeness,3.0,2.0
dunkin,11.0,1.75
dunno,3.0,0.5
duo,5.0,4.0
duper,4.0,3.0
duplicate,5.0,4.0
duplication,3.0,2.0
durant,7.0,1.3333333333333333
durants,4.0,3.0
duration,4.0,1.0
during,127.0,5.35
durst,3.0,0.5
dusk,3.0,2.0
dust,11.0,0.8333333333333334
dusted,3.0,2.0
dusting,4.0,3.0
dutch,5.0,4.0
dutchman,3.0,2.0
duties,4.0,3.0
dutton,3.0,2.0
duty,10.0,0.6666666666666666
duvalin,3.0,2.0
dv,6.0,5.0
dvd,10.0,9.0
dvds,4.0,1.0
dwellers,3.0,2.0
dwindling,3.0,2.0
dyed,3.0,2.0
dyer,3.0,2.0
dyes,3.0,2.0
dying,4.0,1.0
dynamite,5.0,4.0
dynasty,3.0,2.0
dysart,3.0,2.0
décor,3.0,2.0
ea,3.0,2.0
each,210.0,6.5
eactually,3.0,2.0
eager,9.0,1.25
eagerly,3.0,0.5
eagerness,3.0,2.0
ear,9.0,1.25
earleir,3.0,2.0
earlier,25.0,4.0
earliest,3.0,2.0
early,86.0,4.733333333333333
earn,5.0,4.0
earned,15.0,0.875
earnest,4.0,3.0
earning,3.0,2.0
earrings,8.0,7.0
ears,15.0,4.0
earth,12.0,2.0
earthy,4.0,3.0
ease,13.0,12.0
eased,3.0,2.0
easels,3.0,2.0
easier,15.0,4.0
easiest,4.0,3.0
easily,52.0,5.5
easiy,3.0,0.5
easley,5.0,4.0
east,55.0,5.111111111111111
easter,3.0,2.0
eastern,9.0,8.0
eastside,3.0,2.0
eastwood,3.0,2.0
easy,89.0,3.9444444444444446
eat,355.0,3.382716049382716
eatable,3.0,0.5
eated,3.0,2.0
eaten,88.0,3.4
eater,11.0,2.6666666666666665
eateries,8.0,3.0
eaters,7.0,2.5
eatery,17.0,3.25
eatin,4.0,3.0
eating,158.0,2.761904761904762
eats,18.0,8.0
ebay,4.0,3.0
ebi,8.0,7.0
ecclectic,3.0,2.0
echo,10.0,9.0
echoed,3.0,2.0
echoes,3.0,2.0
echoing,3.0,0.5
eclaire,3.0,2.0
eclectic,4.0,3.0
eclub,3.0,2.0
eco,4.0,3.0
economic,5.0,4.0
economy,7.0,1.3333333333333333
ecstacy,3.0,2.0
ecstasy,3.0,2.0
ecstatic,4.0,3.0
ect,6.0,2.0
ed,6.0,5.0
edamame,6.0,2.0
eddie,11.0,4.5
eddies,3.0,0.5
edemame,3.0,2.0
eden,3.0,2.0
edge,11.0,0.8333333333333334
edges,6.0,1.0
edgier,3.0,2.0
edgy,3.0,2.0
edible,11.0,0.375
edison,3.0,2.0
edit,5.0,1.5
editable,3.0,0.5
edited,5.0,4.0
edition,4.0,3.0
edna,3.0,2.0
edu,6.0,5.0
educate,3.0,2.0
educated,5.0,4.0
educating,4.0,3.0
education,7.0,6.0
educational,6.0,5.0
eduprize,3.0,2.0
edwards,3.0,2.0
eeew,3.0,0.5
eegees,7.0,6.0
eek,3.0,0.5
eel,6.0,5.0
eewwww,3.0,0.5
efax,3.0,0.5
eff,5.0,0.6666666666666666
effect,5.0,1.5
effective,5.0,4.0
effectively,3.0,0.5
effects,4.0,3.0
effen,3.0,2.0
efficacious,3.0,2.0
efficiency,4.0,1.0
efficient,33.0,15.5
efficiently,4.0,3.0
effin,3.0,0.5
effing,4.0,1.0
effort,19.0,1.375
efforts,5.0,1.5
eg,6.0,5.0
egg,72.0,8.0
eggees,3.0,2.0
eggless,3.0,2.0
eggplant,32.0,1.9090909090909092
eggplants,3.0,2.0
eggroll,3.0,0.5
eggrolls,8.0,3.0
eggs,64.0,3.923076923076923
eggy,3.0,2.0
ego,3.0,2.0
egypt,3.0,0.5
egyptian,4.0,3.0
eh,4.0,1.0
eight,7.0,2.5
eighteen,3.0,2.0
einstein,4.0,0.3333333333333333
einsteins,4.0,0.3333333333333333
eis,3.0,2.0
either,114.0,1.9230769230769231
el,14.0,6.0
elaboration,3.0,0.5
elaine,3.0,2.0
elastic,5.0,4.0
elbow,3.0,0.5
elbows,8.0,0.3333333333333333
elderflower,3.0,2.0
elderly,5.0,1.5
eldest,3.0,2.0
elected,4.0,1.0
electing,3.0,2.0
electric,5.0,4.0
electrical,3.0,2.0
electronic,7.0,0.75
electronics,6.0,1.0
elegant,15.0,14.0
element,5.0,4.0
elements,10.0,2.3333333333333335
elentra,3.0,2.0
elephant,8.0,0.3333333333333333
elevation,4.0,3.0
elevator,6.0,2.0
elevators,3.0,2.0
eleven,3.0,2.0
elf,3.0,2.0
eliminating,3.0,2.0
elite,3.0,2.0
elites,3.0,0.5
elizabeth,4.0,3.0
ella,3.0,2.0
elliot,4.0,3.0
ellis,4.0,3.0
elm,3.0,2.0
elmer,4.0,3.0
eloquent,3.0,0.5
elote,4.0,3.0
else,181.0,2.175438596491228
elsewhere,23.0,0.6428571428571429
eludes,3.0,2.0
elusive,3.0,2.0
ely,3.0,2.0
em,19.0,18.0
email,11.0,1.75
emailed,9.0,8.0
emails,6.0,5.0
emapanadas,3.0,2.0
embarassed,3.0,0.5
embarked,3.0,2.0
embarking,4.0,1.0
embarrassed,10.0,1.5
embarrassing,5.0,0.6666666666666666
embarrassingly,3.0,2.0
embarrassment,5.0,1.5
embellishment,3.0,2.0
embodies,3.0,2.0
embraces,3.0,2.0
emcee,3.0,2.0
emerald,3.0,2.0
emerge,3.0,2.0
emergencies,4.0,3.0
emergency,17.0,4.666666666666667
emerging,3.0,2.0
emissions,4.0,1.0
emotion,3.0,2.0
emotional,3.0,2.0
empanada,3.0,2.0
empanadas,8.0,7.0
empathetic,3.0,2.0
empathize,3.0,0.5
emperor,3.0,2.0
emphasis,3.0,2.0
emphasize,3.0,2.0
empire,3.0,0.5
employed,3.0,2.0
employee,29.0,0.38095238095238093
employees,76.0,1.1111111111111112
employer,3.0,0.5
employers,3.0,2.0
employess,5.0,0.25
empowering,3.0,2.0
empress,3.0,2.0
empties,3.0,2.0
emptor,3.0,0.5
empty,47.0,1.0434782608695652
emptying,3.0,2.0
emu,3.0,2.0
emulate,3.0,2.0
en,4.0,3.0
enable,4.0,3.0
encased,3.0,2.0
encebollada,3.0,2.0
encebollado,3.0,2.0
enchalada,3.0,0.5
enchanted,3.0,2.0
enchanting,3.0,2.0
enchantment,3.0,2.0
enchilada,12.0,5.0
enchiladas,25.0,1.7777777777777777
enclosed,4.0,1.0
encompass,3.0,0.5
encore,6.0,5.0
encounter,5.0,1.5
encountered,17.0,1.8333333333333333
encounters,3.0,2.0
encourage,13.0,2.25
encouraged,8.0,3.0
encouragement,6.0,2.0
encouraging,4.0,3.0
encroaching,3.0,2.0
encrusted,4.0,3.0
end,107.0,4.35
endeavor,6.0,1.0
endeavors,4.0,3.0
ended,79.0,1.6333333333333333
ending,11.0,2.6666666666666665
endless,13.0,12.0
endlessly,3.0,2.0
endorse,3.0,2.0
endorsing,3.0,2.0
endovenera,3.0,2.0
ends,12.0,2.0
endure,3.0,2.0
endures,3.0,2.0
enemies,3.0,0.5
energetic,4.0,3.0
energy,14.0,6.0
enforce,3.0,0.5
engage,4.0,3.0
engagement,6.0,5.0
engaging,6.0,2.0
engine,4.0,1.0
engineering,5.0,4.0
england,4.0,3.0
english,30.0,0.875
enhance,4.0,1.0
enigma,3.0,2.0
enigmatic,3.0,2.0
enjoy,161.0,6.666666666666667
enjoyable,19.0,5.333333333333333
enjoyably,3.0,2.0
enjoyed,121.0,10.0
enjoying,24.0,3.8
enjoyment,5.0,4.0
enjoys,6.0,5.0
enlarge,3.0,2.0
enlightenment,3.0,2.0
enormous,4.0,3.0
enough,246.0,4.3478260869565215
enraged,3.0,0.5
enrique,3.0,2.0
enrolled,5.0,4.0
ensalda,3.0,2.0
ensembles,3.0,2.0
ensenada,3.0,2.0
ensuing,3.0,2.0
ensure,16.0,7.0
ensuring,4.0,3.0
enter,16.0,2.2
entered,13.0,0.625
entering,20.0,1.5
enterprise,4.0,3.0
entertain,3.0,0.5
entertained,9.0,3.5
entertaining,15.0,4.0
entertainment,10.0,2.3333333333333335
enthusiasm,4.0,3.0
enthusiast,5.0,4.0
enthusiastic,10.0,9.0
enthusiastically,4.0,3.0
enthusiasts,3.0,0.5
entice,3.0,2.0
enticement,3.0,2.0
enticing,3.0,2.0
entire,62.0,3.4285714285714284
entirely,8.0,1.0
entitled,3.0,2.0
entity,3.0,2.0
entomologist,3.0,2.0
entrance,17.0,3.25
entre,3.0,2.0
entree,60.0,2.5294117647058822
entrees,48.0,4.333333333333333
entrepreneurial,3.0,2.0
entrepreneurs,3.0,2.0
entrepreneurship,3.0,2.0
entress,3.0,0.5
entry,9.0,3.5
entrée,5.0,4.0
entrées,3.0,0.5
enuf,3.0,2.0
enveloped,3.0,2.0
enviornment,3.0,2.0
enviroment,3.0,2.0
environment,36.0,11.0
environmental,3.0,2.0
envisioned,3.0,2.0
envy,7.0,1.3333333333333333
epic,6.0,1.0
epiphany,3.0,2.0
episode,4.0,0.3333333333333333
eponymous,3.0,2.0
equal,6.0,2.0
equally,22.0,4.5
equals,4.0,3.0
eque,3.0,2.0
equip,3.0,2.0
equipement,3.0,2.0
equipment,17.0,2.4
equis,4.0,3.0
equivalent,7.0,1.3333333333333333
er,6.0,5.0
era,3.0,2.0
erbe,3.0,2.0
eric,3.0,2.0
erica,5.0,4.0
erin,5.0,1.5
eritrean,3.0,2.0
ernet,3.0,2.0
ernie,4.0,1.0
erosion,3.0,2.0
erotic,3.0,2.0
err,3.0,0.5
errant,3.0,2.0
errors,4.0,3.0
ers,3.0,0.5
es,5.0,1.5
escalate,3.0,0.5
escape,6.0,2.0
escaped,6.0,0.5
escaping,3.0,2.0
escebeche,3.0,2.0
escentuals,3.0,2.0
escolar,3.0,2.0
esp,6.0,5.0
espana,3.0,2.0
esparza,5.0,0.6666666666666666
especially,115.0,8.583333333333334
espresso,32.0,15.0
esqe,3.0,2.0
esque,4.0,3.0
essence,12.0,11.0
essential,3.0,2.0
essentially,5.0,1.5
essentials,4.0,3.0
essie,3.0,2.0
esspresso,3.0,2.0
establishement,3.0,0.5
establishment,46.0,1.0
establishments,7.0,1.3333333333333333
estate,7.0,6.0
esteem,4.0,3.0
esthetician,4.0,3.0
estimate,3.0,2.0
estimated,3.0,0.5
estimates,3.0,2.0
estimation,3.0,2.0
estrella,4.0,3.0
et,3.0,2.0
eta,4.0,0.3333333333333333
etc,102.0,3.08
eternity,4.0,1.0
ether,3.0,0.5
ethics,5.0,0.6666666666666666
ethier,3.0,0.5
ethiopia,3.0,2.0
ethiopian,16.0,15.0
ethnic,8.0,7.0
etienne,3.0,2.0
etouffee,3.0,2.0
etsy,3.0,2.0
eucalyptus,4.0,3.0
eugene,3.0,2.0
eugenia,4.0,3.0
euphoria,3.0,2.0
euphoric,3.0,2.0
euro,4.0,3.0
europe,12.0,2.0
european,15.0,0.875
euthanize,3.0,2.0
euthanizing,3.0,0.5
ev,3.0,2.0
evaluations,3.0,2.0
evaluative,3.0,2.0
evap,3.0,2.0
eve,8.0,7.0
even,635.0,1.9534883720930232
evening,68.0,4.230769230769231
evenings,8.0,7.0
event,84.0,4.6
events,27.0,12.5
eventually,11.0,10.0
ever,460.0,3.7916666666666665
everday,3.0,2.0
everett,3.0,2.0
every,384.0,8.365853658536585
everybody,15.0,4.0
everyday,18.0,17.0
everynight,3.0,2.0
everyone,172.0,5.37037037037037
everyones,6.0,0.5
everything,374.0,7.6976744186046515
everytime,17.0,3.25
everywhere,23.0,2.2857142857142856
eves,3.0,2.0
eveything,3.0,2.0
evident,5.0,4.0
evidently,3.0,2.0
evil,5.0,1.5
evoking,3.0,2.0
evolving,3.0,2.0
evoo,4.0,3.0
ew,5.0,1.5
ewe,3.0,2.0
eww,3.0,0.5
ewww,3.0,0.5
ewwww,3.0,0.5
ewwwwww,3.0,0.5
ex,7.0,1.3333333333333333
exact,9.0,1.25
exactly,63.0,4.7272727272727275
exaggerating,4.0,1.0
exaggeration,3.0,0.5
exam,4.0,3.0
examined,5.0,1.5
examining,3.0,2.0
example,11.0,2.6666666666666665
examples,4.0,3.0
exams,3.0,2.0
exasperated,3.0,2.0
exceeded,16.0,3.0
exceeds,3.0,2.0
excellence,5.0,4.0
excellent,280.0,24.454545454545453
excellente,3.0,2.0
excellently,3.0,2.0
except,41.0,1.5625
exception,14.0,3.6666666666666665
exceptional,27.0,8.0
exceptionally,11.0,4.5
excess,4.0,1.0
excessive,5.0,0.6666666666666666
excessively,4.0,3.0
exchange,6.0,1.0
exchanged,3.0,2.0
excite,3.0,2.0
excited,51.0,2.923076923076923
excitedly,3.0,0.5
excitement,8.0,3.0
exciting,8.0,7.0
exclaimed,3.0,2.0
exclaiming,3.0,2.0
exclamation,3.0,2.0
exclude,4.0,3.0
excluding,3.0,0.5
exclusive,3.0,2.0
exclusively,3.0,2.0
excruciatingly,3.0,0.5
exctaly,3.0,0.5
excursion,3.0,2.0
excuse,28.0,0.75
excuses,5.0,4.0
execucar,3.0,2.0
execute,3.0,2.0
executed,3.0,2.0
execution,6.0,2.0
executive,6.0,5.0
exemplary,5.0,1.5
exercise,9.0,8.0
exercises,3.0,2.0
exfoliating,3.0,2.0
exfoliator,3.0,2.0
exhaust,4.0,3.0
exhausted,4.0,1.0
exhaustion,3.0,2.0
exhibit,4.0,3.0
exhibits,8.0,7.0
exist,6.0,5.0
existed,9.0,3.5
existence,3.0,2.0
existent,4.0,0.3333333333333333
existing,3.0,2.0
exists,4.0,3.0
exit,6.0,1.0
exiting,4.0,1.0
exotic,13.0,12.0
expand,3.0,2.0
expanded,5.0,4.0
expanding,5.0,4.0
expands,3.0,2.0
expansion,4.0,3.0
expansions,3.0,2.0
expansive,3.0,2.0
expecially,3.0,0.5
expect,67.0,4.583333333333333
expectaions,3.0,0.5
expectation,8.0,1.0
expectations,37.0,3.625
expected,43.0,2.5833333333333335
expecting,24.0,1.4
expedite,3.0,0.5
expedition,3.0,2.0
expense,5.0,4.0
